year,location,education_level,status,value
2004,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, in education and not in education",100.0
2005,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, in education and not in education",100.0
2006,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, in education and not in education",100.0
2007,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, in education and not in education",100.0
2008,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, in education and not in education",100.0
2009,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, in education and not in education",100.0
2010,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, in education and not in education",100.0
2011,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, in education and not in education",100.0
2012,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, in education and not in education",100.0
2013,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, in education and not in education",100.0
2014,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, in education and not in education",100.0
2015,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, in education and not in education",100.0
2016,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, in education and not in education",100.0
2017,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, in education and not in education",100.0
2018,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, in education and not in education",100.0
2019,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, in education and not in education",100.0
2020,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, in education and not in education",100.0
2021,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, in education and not in education",100.0
2022,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, in education and not in education",100.0
2004,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, in education",45.0
2005,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, in education",46.0
2006,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, in education",45.0
2007,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, in education",45.0
2008,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, in education",46.0
2009,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, in education",46.0
2010,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, in education",48.0
2011,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, in education",47.0
2012,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, in education",48.0
2013,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, in education",47.0
2014,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, in education",47.0
2015,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, in education",47.0
2016,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, in education",47.0
2017,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, in education",47.0
2018,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, in education",47.0
2019,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, in education",47.0
2020,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, in education",47.0
2021,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, in education",48.0
2022,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, in education",48.0
2004,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Employed, in education",12.0
2005,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Employed, in education",12.0
2006,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Employed, in education",13.0
2007,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Employed, in education",13.0
2008,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Employed, in education",13.0
2009,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Employed, in education",13.0
2010,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Employed, in education",12.0
2011,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Employed, in education",12.0
2012,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Employed, in education",13.0
2013,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Employed, in education",12.0
2014,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Employed, in education",11.0
2015,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Employed, in education",12.0
2016,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Employed, in education",12.0
2017,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Employed, in education",13.0
2018,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Employed, in education",13.0
2019,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Employed, in education",13.0
2020,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Employed, in education",12.0
2021,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Employed, in education",13.0
2022,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Employed, in education",14.0
2004,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, not in education",55.0
2005,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, not in education",54.0
2006,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, not in education",55.0
2007,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, not in education",55.0
2008,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, not in education",54.0
2009,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, not in education",54.0
2010,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, not in education",52.0
2011,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, not in education",53.0
2012,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, not in education",52.0
2013,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, not in education",53.0
2014,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, not in education",53.0
2015,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, not in education",53.0
2016,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, not in education",53.0
2017,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, not in education",53.0
2018,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, not in education",53.0
2019,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, not in education",53.0
2020,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, not in education",53.0
2021,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, not in education",52.0
2022,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Total, not in education",52.0
2004,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Employed, not in education",40.0
2005,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Employed, not in education",40.0
2006,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Employed, not in education",40.0
2007,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Employed, not in education",41.0
2008,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Employed, not in education",41.0
2009,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Employed, not in education",38.0
2010,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Employed, not in education",36.0
2011,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Employed, not in education",37.0
2012,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Employed, not in education",37.0
2013,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Employed, not in education",37.0
2014,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Employed, not in education",37.0
2015,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Employed, not in education",38.0
2016,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Employed, not in education",38.0
2017,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Employed, not in education",39.0
2018,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Employed, not in education",40.0
2019,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Employed, not in education",40.0
2020,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Employed, not in education",39.0
2021,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Employed, not in education",38.0
2022,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Employed, not in education",39.0
2004,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",15.0
2005,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",15.0
2006,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",14.0
2007,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",14.0
2008,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2009,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",16.0
2010,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",16.0
2011,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",16.0
2012,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",15.0
2013,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",16.0
2014,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",16.0
2015,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",15.0
2016,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",15.0
2017,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",14.0
2018,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2019,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2020,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2021,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",15.0
2022,Organisation for Economic Co-operation and Development (OECD) - average,"Total, all education levels","Sub-total, not in employment, education or training (NEET)",13.0
2004,Canada,"Total, all education levels","Total, in education and not in education",100.0
2005,Canada,"Total, all education levels","Total, in education and not in education",100.0
2006,Canada,"Total, all education levels","Total, in education and not in education",100.0
2007,Canada,"Total, all education levels","Total, in education and not in education",100.0
2008,Canada,"Total, all education levels","Total, in education and not in education",100.0
2009,Canada,"Total, all education levels","Total, in education and not in education",100.0
2010,Canada,"Total, all education levels","Total, in education and not in education",100.0
2011,Canada,"Total, all education levels","Total, in education and not in education",100.0
2012,Canada,"Total, all education levels","Total, in education and not in education",100.0
2013,Canada,"Total, all education levels","Total, in education and not in education",100.0
2014,Canada,"Total, all education levels","Total, in education and not in education",100.0
2015,Canada,"Total, all education levels","Total, in education and not in education",100.0
