"REF_DATE","GEO","DGUID","Educational attainment level","Labour force and education status","Age group","Sex","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2004","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922706","1.1.1.1.1.1","100","","","","0"
"2005","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922706","1.1.1.1.1.1","100","","","","0"
"2006","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922706","1.1.1.1.1.1","100","","","","0"
"2007","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922706","1.1.1.1.1.1","100","","","","0"
"2008","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922706","1.1.1.1.1.1","100","","","","0"
"2009","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922706","1.1.1.1.1.1","100","","","","0"
"2010","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922706","1.1.1.1.1.1","100","","","","0"
"2011","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922706","1.1.1.1.1.1","100","","","","0"
"2012","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922706","1.1.1.1.1.1","100","","","","0"
"2013","Organisation for Economic Co-operation and Development (OECD) - average","","Total, all education levels","Total, in education and not in education","Total, 15 to 29 years","Both sexes","Proportion","Percent","239","units","0","v1247922706","1.1.1.1.1.1","100","","","","0"
